"Time (s)","Sound pressure level (dB)"
2.768980000E2,5.645892504E1
2.772030000E2,5.463906896E1
2.775200000E2,5.412722413E1
2.777910000E2,5.268636730E1
2.780870000E2,5.566734184E1
2.783350000E2,5.745256931E1
2.785810000E2,5.645167582E1
2.788270000E2,5.925831320E1
2.790840000E2,5.591320738E1
2.793690000E2,5.632637646E1
2.796200000E2,6.252281740E1
2.799120000E2,5.547643277E1
2.801570000E2,6.021611275E1
2.804580000E2,5.732676882E1
2.808110000E2,5.909573770E1
2.810780000E2,6.005240162E1
2.813300000E2,5.965022185E1
2.815820000E2,6.135840817E1
2.818790000E2,5.970629096E1
2.821590000E2,5.879025140E1
2.824010000E2,5.747324456E1
2.826520000E2,5.726379384E1
2.828950000E2,5.871306541E1
2.831920000E2,6.188032415E1
2.834710000E2,6.066582287E1
2.837110000E2,5.950933244E1
2.840350000E2,5.901018860E1
2.843000000E2,5.761182729E1
2.846050000E2,5.446909438E1
2.848570000E2,5.349219985E1
2.851700000E2,5.015518748E1
2.854330000E2,5.374610595E1
2.857270000E2,5.877223624E1
2.860310000E2,5.644512377E1
2.863080000E2,5.711327205E1
2.865540000E2,5.655239592E1
2.867930000E2,5.833716670E1
2.871150000E2,5.417781453E1
2.874030000E2,5.332227783E1
2.876540000E2,5.146836736E1
2.879540000E2,5.452228720E1
2.881970000E2,5.025406823E1
2.884910000E2,5.490648375E1
2.887280000E2,5.506242221E1
2.890210000E2,5.400927835E1
2.892600000E2,5.781126179E1
2.895430000E2,6.384283902E1
2.898470000E2,6.340395874E1
2.901430000E2,5.555395770E1
2.904560000E2,5.514224078E1
2.907530000E2,5.346566906E1
2.910000000E2,5.948406902E1
2.912590000E2,6.362292628E1
2.915300000E2,6.175065463E1
2.918240000E2,6.129817533E1
2.920790000E2,6.317618325E1
2.923350000E2,6.137933812E1
2.926010000E2,5.620086793E1
2.928740000E2,5.715913846E1
2.931780000E2,7.028942499E1
2.934620000E2,6.774357618E1
2.937770000E2,6.989950413E1
2.940270000E2,6.631119439E1
2.943030000E2,6.956920703E1
2.945570000E2,6.352936554E1
2.948100000E2,6.981123112E1
2.951150000E2,5.607171784E1
2.953950000E2,5.394017247E1
2.956980000E2,7.110851253E1
2.959460000E2,6.978848906E1
2.961900000E2,5.446752823E1
2.965090000E2,6.309281755E1
2.968110000E2,6.647752141E1
2.971300000E2,6.773248230E1
2.974240000E2,6.289421429E1
2.977060000E2,5.998905240E1
2.979500000E2,6.016152671E1
2.981940000E2,5.851705490E1
2.984880000E2,6.506323043E1
2.987430000E2,5.702053645E1
2.990110000E2,4.890963733E1
2.993040000E2,5.105737182E1
